doc_id,doc_id_numeric,url,report_type,filing_date,disclosure_date,filing_year,state_district,notes,person,local_path,status,pages,likely_equity_filing,downloaded_at
pelosi_ptr_20022260,20022260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf,house_ptr,2023-01-12,2023-01-12,2023,CA12,House PTR #20022260,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20022260.pdf,ok,3,True,2026-05-31T16:38:43.361836+00:00
pelosi_ptr_20022320,20022320,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022320.pdf,house_ptr,2023-01-25,2023-01-25,2023,CA11,House PTR #20022320,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20022320.pdf,ok,1,True,2026-05-31T16:38:43.646985+00:00
pelosi_ptr_20022664,20022664,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022664.pdf,house_ptr,2023-04-06,2023-04-06,2023,CA11,House PTR #20022664,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20022664.pdf,ok,1,True,2026-05-31T16:38:43.915719+00:00
pelosi_ptr_20023080,20023080,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023080.pdf,house_ptr,2023-06-06,2023-06-06,2023,CA11,House PTR #20023080,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20023080.pdf,ok,1,True,2026-05-31T16:38:44.138666+00:00
pelosi_ptr_20023192,20023192,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023192.pdf,house_ptr,2023-06-22,2023-06-22,2023,CA11,House PTR #20023192,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20023192.pdf,ok,1,True,2026-05-31T16:38:44.417176+00:00
pelosi_ptr_20024186,20024186,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024186.pdf,house_ptr,2023-12-21,2023-12-21,2023,CA11,House PTR #20024186,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20024186.pdf,ok,1,True,2026-05-31T16:38:44.672316+00:00
pelosi_ptr_20024542,20024542,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024542.pdf,house_ptr,2024-02-23,2024-02-23,2024,CA11,House PTR #20024542,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20024542.pdf,ok,1,True,2026-05-31T16:38:44.946129+00:00
pelosi_ptr_20024625,20024625,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024625.pdf,house_ptr,2024-03-21,2024-03-21,2024,CA11,House PTR #20024625,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20024625.pdf,ok,1,True,2026-05-31T16:38:45.389483+00:00
pelosi_ptr_20025368,20025368,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025368.pdf,house_ptr,2024-07-02,2024-07-02,2024,CA11,House PTR #20025368,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20025368.pdf,ok,2,True,2026-05-31T16:38:45.796555+00:00
pelosi_ptr_20025535,20025535,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025535.pdf,house_ptr,2024-07-30,2024-07-30,2024,CA11,House PTR #20025535,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20025535.pdf,ok,1,True,2026-05-31T16:38:46.128076+00:00
pelosi_ptr_20025819,20025819,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025819.pdf,house_ptr,2024-09-11,2024-09-11,2024,CA11,House PTR #20025819,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20025819.pdf,ok,1,True,2026-05-31T16:38:46.423440+00:00
pelosi_ptr_20026590,20026590,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf,house_ptr,2025-01-17,2025-01-17,2025,CA11,House PTR #20026590,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20026590.pdf,ok,2,True,2026-05-31T16:38:46.942933+00:00
pelosi_ptr_20030630,20030630,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030630.pdf,house_ptr,2025-07-09,2025-07-09,2025,CA11,House PTR #20030630,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20030630.pdf,ok,1,True,2026-05-31T16:38:47.216241+00:00
pelosi_ptr_20033337,20033337,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033337.pdf,house_ptr,2025-10-24,2025-10-24,2025,CA11,House PTR #20033337,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20033337.pdf,ok,1,True,2026-05-31T16:38:47.461663+00:00
pelosi_ptr_20033725,20033725,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033725.pdf,house_ptr,2026-01-23,2026-01-23,2026,CA11,House PTR #20033725,Nancy Pelosi,/Users/haijiang/Desktop/Pelosi_following/data/raw/disclosures/pelosi_ptr_20033725.pdf,ok,3,True,2026-05-31T16:38:48.210985+00:00
