date,position_cost,position_mtm,position_cost_stock,position_cost_option,position_mtm_stock,position_mtm_option,n_open_lots,n_open_stock_lots,n_open_option_lots,n_tickers,realized_pnl,unrealized_pnl,total_pnl,daily_pnl,cum_pnl
2023-11-22,1243410.767150879,1243410.767150879,0.0,1243410.767150879,0.0,1243410.767150879,2,0,2,1,0.0,0.0,0.0,0.0,0.0
2023-11-24,1243410.767150879,1219418.635539641,0.0,1243410.767150879,0.0,1219418.635539641,2,0,2,1,0.0,-23992.13161123804,-23992.13161123804,-23992.13161123804,-23992.13161123804
2023-11-27,1243410.767150879,1231312.7862793272,0.0,1243410.767150879,0.0,1231312.7862793272,2,0,2,1,0.0,-12097.980871551543,-12097.980871551543,11894.150739686498,-12097.980871551543
2023-11-28,1243410.767150879,1220567.3722770638,0.0,1243410.767150879,0.0,1220567.3722770638,2,0,2,1,0.0,-22843.394873815112,-22843.394873815112,-10745.41400226357,-22843.394873815112
2023-11-29,1243410.767150879,1228709.3727404012,0.0,1243410.767150879,0.0,1228709.3727404012,2,0,2,1,0.0,-14701.394410477826,-14701.394410477826,8142.000463337286,-14701.394410477826
2023-11-30,1243410.767150879,1193741.9823462735,0.0,1243410.767150879,0.0,1193741.9823462735,2,0,2,1,0.0,-49668.78480460528,-49668.78480460528,-34967.390394127455,-49668.78480460528
2023-12-01,1243410.767150879,1193614.2474978631,0.0,1243410.767150879,0.0,1193614.2474978631,2,0,2,1,0.0,-49796.51965301589,-49796.51965301589,-127.73484841060417,-49796.51965301589
2023-12-04,1243410.767150879,1161582.0304892203,0.0,1243410.767150879,0.0,1161582.0304892203,2,0,2,1,0.0,-81828.73666165877,-81828.73666165877,-32032.21700864288,-81828.73666165877
2023-12-05,1243410.767150879,1188639.6035960307,0.0,1243410.767150879,0.0,1188639.6035960307,2,0,2,1,0.0,-54771.163554848215,-54771.163554848215,27057.573106810552,-54771.163554848215
2023-12-06,1243410.767150879,1161505.6429063417,0.0,1243410.767150879,0.0,1161505.6429063417,2,0,2,1,0.0,-81905.1242445374,-81905.1242445374,-27133.96068968918,-81905.1242445374
2023-12-07,1243410.767150879,1189405.3306545047,0.0,1243410.767150879,0.0,1189405.3306545047,2,0,2,1,0.0,-54005.436496374285,-54005.436496374285,27899.68774816311,-54005.436496374285
2023-12-08,1243410.767150879,1212633.7813032388,0.0,1243410.767150879,0.0,1212633.7813032388,2,0,2,1,0.0,-30776.98584764026,-30776.98584764026,23228.450648734026,-30776.98584764026
2023-12-11,1243410.767150879,1190196.5851960322,0.0,1243410.767150879,0.0,1190196.5851960322,2,0,2,1,0.0,-53214.181954846674,-53214.181954846674,-22437.196107206415,-53214.181954846674
2023-12-12,1243410.767150879,1216488.3338112275,0.0,1243410.767150879,0.0,1216488.3338112275,2,0,2,1,0.0,-26922.433339651463,-26922.433339651463,26291.74861519521,-26922.433339651463
2023-12-13,1243410.767150879,1227490.0944085852,0.0,1243410.767150879,0.0,1227490.0944085852,2,0,2,1,0.0,-15920.6727422937,-15920.6727422937,11001.760597357763,-15920.6727422937
2023-12-14,1243410.767150879,1234177.807802985,0.0,1243410.767150879,0.0,1234177.807802985,2,0,2,1,0.0,-9232.959347894037,-9232.959347894037,6687.713394399663,-9232.959347894037
2023-12-15,1243410.767150879,1247961.771753787,0.0,1243410.767150879,0.0,1247961.771753787,2,0,2,1,0.0,4551.004602908234,4551.004602908234,13783.96395080227,4551.004602908234
2023-12-18,1243410.767150879,1278260.9454758698,0.0,1243410.767150879,0.0,1278260.9454758698,2,0,2,1,0.0,34850.17832499092,34850.17832499092,30299.173722082687,34850.17832499092
2023-12-19,1243410.767150879,1266187.1280233923,0.0,1243410.767150879,0.0,1266187.1280233923,2,0,2,1,0.0,22776.360872513338,22776.360872513338,-12073.817452477582,22776.360872513338
2023-12-20,1243410.767150879,1228077.0316525407,0.0,1243410.767150879,0.0,1228077.0316525407,2,0,2,1,0.0,-15333.735498338265,-15333.735498338265,-38110.09637085161,-15333.735498338265
2023-12-21,1243410.767150879,1250514.227759747,0.0,1243410.767150879,0.0,1250514.227759747,2,0,2,1,0.0,7103.460608868153,7103.460608868153,22437.19610720642,7103.460608868153
2023-12-22,1243410.767150879,1246430.220203698,0.0,1243410.767150879,0.0,1246430.220203698,2,0,2,1,0.0,3019.453052819108,3019.453052819108,-4084.007556049045,3019.453052819108
2023-12-26,1243410.767150879,1257891.280629742,0.0,1243410.767150879,0.0,1257891.280629742,2,0,2,1,0.0,14480.51347886311,14480.51347886311,11461.060426044001,14480.51347886311
2023-12-27,1243410.767150879,1261413.9758580308,0.0,1243410.767150879,0.0,1261413.9758580308,2,0,2,1,0.0,18003.208707151793,18003.208707151793,3522.695228288683,18003.208707151793
2023-12-28,1243410.767150879,1264094.1667124014,0.0,1243410.767150879,0.0,1264094.1667124014,2,0,2,1,0.0,20683.399561522587,20683.399561522587,2680.190854370794,20683.399561522587
2023-12-29,1243410.767150879,1264094.1667124014,0.0,1243410.767150879,0.0,1264094.1667124014,2,0,2,1,0.0,20683.399561522587,20683.399561522587,0.0,20683.399561522587
2024-01-02,1243410.767150879,1229531.903320327,0.0,1243410.767150879,0.0,1229531.903320327,2,0,2,1,0.0,-13878.863830551974,-13878.863830551974,-34562.26339207456,-13878.863830551974
2024-01-03,1243410.767150879,1214241.9153024894,0.0,1243410.767150879,0.0,1214241.9153024894,2,0,2,1,0.0,-29168.85184838956,-29168.85184838956,-15289.988017837586,-29168.85184838956
2024-01-04,1243410.767150879,1225192.6209337395,0.0,1243410.767150879,0.0,1225192.6209337395,2,0,2,1,0.0,-18218.146217139554,-18218.146217139554,10950.705631250006,-18218.146217139554
2024-01-05,1243410.767150879,1253245.6684465082,0.0,1243410.767150879,0.0,1253245.6684465082,2,0,2,1,0.0,9834.901295629368,9834.901295629368,28053.04751276892,9834.901295629368
2024-01-08,1243410.767150879,1333805.4358742232,0.0,1243410.767150879,0.0,1333805.4358742232,2,0,2,1,0.0,90394.66872334435,90394.66872334435,80559.76742771498,90394.66872334435
2024-01-09,1243410.767150879,1356446.8518458605,0.0,1243410.767150879,0.0,1356446.8518458605,2,0,2,1,0.0,113036.0846949814,113036.0846949814,22641.41597163705,113036.0846949814
2024-01-10,1243410.767150879,1387333.1576781815,0.0,1243410.767150879,0.0,1387333.1576781815,2,0,2,1,0.0,143922.39052730257,143922.39052730257,30886.305832321174,143922.39052730257
2024-01-11,1243410.767150879,1399381.350214464,0.0,1243410.767150879,0.0,1399381.350214464,2,0,2,1,0.0,155970.5830635851,155970.5830635851,12048.192536282528,155970.5830635851
2024-01-12,1243410.767150879,1396522.5644118579,0.0,1243410.767150879,0.0,1396522.5644118579,2,0,2,1,0.0,153111.7972609789,153111.7972609789,-2858.785802606202,153111.7972609789
2024-01-16,1243410.767150879,1439201.787949923,0.0,1243410.767150879,0.0,1439201.787949923,2,0,2,1,0.0,195791.02079904417,195791.02079904417,42679.22353806527,195791.02079904417
2024-01-17,1243410.767150879,1430803.8306240572,0.0,1243410.767150879,0.0,1430803.8306240572,2,0,2,1,0.0,187393.06347317842,187393.06347317842,-8397.957325865747,187393.06347317842
2024-01-18,1243410.767150879,1457708.2388325448,0.0,1243410.767150879,0.0,1457708.2388325448,2,0,2,1,0.0,214297.47168166583,214297.47168166583,26904.40820848741,214297.47168166583
2024-01-19,1243410.767150879,1518561.8611072488,0.0,1243410.767150879,0.0,1518561.8611072488,2,0,2,1,0.0,275151.09395636985,275151.09395636985,60853.622274704016,275151.09395636985
2024-01-22,1243410.767150879,1522722.7434118837,0.0,1243410.767150879,0.0,1522722.7434118837,2,0,2,1,0.0,279311.976261005,279311.976261005,4160.882304635132,279311.976261005
2024-01-23,1243410.767150879,1528312.7750349683,0.0,1243410.767150879,0.0,1528312.7750349683,2,0,2,1,0.0,284902.0078840893,284902.0078840893,5590.031623084331,284902.0078840893
2024-01-24,1243410.767150879,1566320.858906746,0.0,1243410.767150879,0.0,1566320.858906746,2,0,2,1,0.0,322910.09175586706,322910.09175586706,38008.08387177775,322910.09175586706
2024-01-25,1243410.767150879,1572829.97735291,0.0,1243410.767150879,0.0,1572829.97735291,2,0,2,1,0.0,329419.21020203107,329419.21020203107,6509.118446164008,329419.21020203107
2024-01-26,1243410.767150879,1557871.749181631,0.0,1243410.767150879,0.0,1557871.749181631,2,0,2,1,0.0,314460.9820307522,314460.9820307522,-14958.228171278897,314460.9820307522
2024-01-29,1243410.767150879,1594475.9189185887,0.0,1243410.767150879,0.0,1594475.9189185887,2,0,2,1,0.0,351065.1517677098,351065.1517677098,36604.16973695764,351065.1517677098
2024-01-30,1243410.767150879,1602363.424016519,0.0,1243410.767150879,0.0,1602363.424016519,2,0,2,1,0.0,358952.6568656401,358952.6568656401,7887.505097930261,358952.6568656401
2024-01-31,1243410.767150879,1570532.6013112057,0.0,1243410.767150879,0.0,1570532.6013112057,2,0,2,1,0.0,327121.8341603267,327121.8341603267,-31830.82270531339,327121.8341603267
2024-02-01,1243410.767150879,1608821.4874965756,0.0,1243410.767150879,0.0,1608821.4874965756,2,0,2,1,0.0,365410.72034569667,365410.72034569667,38288.88618536998,365410.72034569667
2024-02-02,1243410.767150879,1688794.2202471935,0.0,1243410.767150879,0.0,1688794.2202471935,2,0,2,1,0.0,445383.4530963147,445383.4530963147,79972.73275061802,445383.4530963147
2024-02-05,1243410.767150879,1769762.5248369116,0.0,1243410.767150879,0.0,1769762.5248369116,2,0,2,1,0.0,526351.7576860324,526351.7576860324,80968.30458971777,526351.7576860324
2024-02-06,1243410.767150879,1741454.1050604626,0.0,1243410.767150879,0.0,1741454.1050604626,2,0,2,1,0.0,498043.33790958376,498043.33790958376,-28308.41977644869,498043.33790958376
2024-02-07,1243410.767150879,1789340.7402752289,0.0,1243410.767150879,0.0,1789340.7402752289,2,0,2,1,0.0,545929.97312435,545929.97312435,47886.6352147662,545929.97312435
2024-02-08,1243410.767150879,1777649.7376354174,0.0,1243410.767150879,0.0,1777649.7376354174,2,0,2,1,0.0,534238.9704845386,534238.9704845386,-11691.00263981137,534238.9704845386
2024-02-09,1243410.767150879,1841260.7178125023,0.0,1243410.767150879,0.0,1841260.7178125023,2,0,2,1,0.0,597849.9506616233,597849.9506616233,63610.98017708468,597849.9506616233
2024-02-12,1243410.767150879,1844195.9886311286,0.0,1243410.767150879,0.0,1844195.9886311286,2,0,2,1,0.0,600785.2214802497,600785.2214802497,2935.2708186263917,600785.2214802497
2024-02-13,1243410.767150879,1841132.8855309503,0.0,1243410.767150879,0.0,1841132.8855309503,2,0,2,1,0.0,597722.1183800715,597722.1183800715,-3063.103100178181,597722.1183800715
2024-02-14,1243410.767150879,1886365.0522406825,0.0,1243410.767150879,0.0,1886365.0522406825,2,0,2,1,0.0,642954.2850898035,642954.2850898035,45232.16670973203,642954.2850898035
2024-02-15,1243410.767150879,1854661.4772180726,0.0,1243410.767150879,0.0,1854661.4772180726,2,0,2,1,0.0,611250.7100671936,611250.7100671936,-31703.575022609904,611250.7100671936
2024-02-16,1243410.767150879,1853512.7404806498,0.0,1243410.767150879,0.0,1853512.7404806498,2,0,2,1,0.0,610101.9733297707,610101.9733297707,-1148.736737422878,610101.9733297707
2024-02-20,1243410.767150879,1772825.433070807,0.0,1243410.767150879,0.0,1772825.433070807,2,0,2,1,0.0,529414.6659199279,529414.6659199279,-80687.30740984285,529414.6659199279
2024-02-21,1343411.767150879,1822285.3293510068,0.0,1343411.767150879,0.0,1822285.3293510068,3,0,3,2,0.0,478873.56220012775,478873.56220012775,-50541.10371980013,478873.56220012775
2024-02-22,1343411.767150879,2106988.218499607,0.0,1343411.767150879,0.0,2106988.218499607,3,0,3,2,0.0,763576.451348728,763576.451348728,284702.8891486003,763576.451348728
2024-02-23,1343411.767150879,2119557.04053489,0.0,1343411.767150879,0.0,2119557.04053489,3,0,3,2,0.0,776145.2733840108,776145.2733840108,12568.822035282734,776145.2733840108
2024-02-26,1343411.767150879,2134474.6394147463,0.0,1343411.767150879,0.0,2134474.6394147463,3,0,3,2,0.0,791062.8722638671,791062.8722638671,14917.59887985629,791062.8722638671
2024-02-27,1343411.767150879,2129063.249760315,0.0,1343411.767150879,0.0,2129063.249760315,3,0,3,2,0.0,785651.4826094357,785651.4826094357,-5411.389654431376,785651.4826094357
2024-02-28,1343411.767150879,2103101.5017634532,0.0,1343411.767150879,0.0,2103101.5017634532,3,0,3,2,0.0,759689.7346125746,759689.7346125746,-25961.747996861115,759689.7346125746
2024-02-29,1343411.767150879,2137951.3978663553,0.0,1343411.767150879,0.0,2137951.3978663553,3,0,3,2,0.0,794539.6307154762,794539.6307154762,34849.896102901665,794539.6307154762
2024-03-01,1343411.767150879,2215680.408426669,0.0,1343411.767150879,0.0,2215680.408426669,3,0,3,2,0.0,872268.6412757897,872268.6412757897,77729.01056031347,872268.6412757897
2024-03-04,1343411.767150879,2290055.9232406807,0.0,1343411.767150879,0.0,2290055.9232406807,3,0,3,2,0.0,946644.1560898018,946644.1560898018,74375.5148140121,946644.1560898018
2024-03-05,1343411.767150879,2305544.3636336643,0.0,1343411.767150879,0.0,2305544.3636336643,3,0,3,2,0.0,962132.5964827859,962132.5964827859,15488.440392984077,962132.5964827859
2024-03-06,1343411.767150879,2370702.7862531077,0.0,1343411.767150879,0.0,2370702.7862531077,3,0,3,2,0.0,1027291.0191022292,1027291.0191022292,65158.42261944327,1027291.0191022292
2024-03-07,1343411.767150879,2474932.385777582,0.0,1343411.767150879,0.0,2474932.385777582,3,0,3,2,0.0,1131520.618626703,1131520.618626703,104229.59952447389,1131520.618626703
2024-03-08,1343411.767150879,2341296.295295855,0.0,1343411.767150879,0.0,2341296.295295855,3,0,3,2,0.0,997884.528144976,997884.528144976,-133636.09048172703,997884.528144976
