date,position_cost,position_mtm,position_cost_stock,position_cost_option,position_mtm_stock,position_mtm_option,n_open_lots,n_open_stock_lots,n_open_option_lots,n_tickers,realized_pnl,unrealized_pnl,total_pnl,daily_pnl,cum_pnl
2023-03-17,2026460.3505859375,2026460.3505859375,500001.0,1526459.3505859375,500001.0,1526459.3505859375,2,1,1,1,0.0,0.0,0.0,0.0,0.0
2023-03-20,2026460.3505859375,2057837.474974256,500001.0,1526459.3505859375,507742.8704820686,1550094.6044921875,2,1,1,1,0.0,31377.12438831879,31377.12438831879,31377.12438831879,31377.12438831879
2023-03-21,2026460.3505859375,2082416.5870359326,500001.0,1526459.3505859375,513807.42565897934,1568609.1613769531,2,1,1,1,0.0,55956.23644999491,55956.23644999491,24579.11206167612,55956.23644999491
2023-03-22,2026460.3505859375,2063459.5743846567,500001.0,1526459.3505859375,509130.04557606287,1554329.5288085938,2,1,1,1,0.0,36999.22379871917,36999.22379871917,-18957.01265127574,36999.22379871917
2023-03-23,2026460.3505859375,2077840.5538269915,500001.0,1526459.3505859375,512678.3528992571,1565162.2009277344,2,1,1,1,0.0,51380.20324105405,51380.20324105405,14380.97944233488,51380.20324105405
2023-03-24,2026460.3505859375,2095098.417892318,500001.0,1526459.3505859375,516936.4916227867,1578161.9262695312,2,1,1,1,0.0,68638.06730638057,68638.06730638057,17257.864065326525,68638.06730638057
2023-03-27,2026460.3505859375,2069342.7852074662,500001.0,1526459.3505859375,510581.6462914507,1558761.1389160156,2,1,1,1,0.0,42882.434621529086,42882.434621529086,-25755.632684851487,42882.434621529086
2023-03-28,2026460.3505859375,2061105.9254313726,500001.0,1526459.3505859375,508549.3153239508,1552556.6101074219,2,1,1,1,0.0,34645.57484543536,34645.57484543536,-8236.859776093726,34645.57484543536
2023-03-29,2026460.3505859375,2101897.0379258934,500001.0,1526459.3505859375,518613.9568712062,1583283.0810546875,2,1,1,1,0.0,75436.68733995632,75436.68733995632,40791.11249452096,75436.68733995632
2023-03-30,2026460.3505859375,2122684.6664297236,500001.0,1526459.3505859375,523743.01603909873,1598941.650390625,2,1,1,1,0.0,96224.31584378632,96224.31584378632,20787.628503829997,96224.31584378632
2023-03-31,2026460.3505859375,2155892.204101619,500001.0,1526459.3505859375,531936.5156250562,1623955.6884765625,2,1,1,1,0.0,129431.8535156811,129431.8535156811,33207.53767189478,129431.8535156811
2023-04-03,2026460.3505859375,2172496.378075522,500001.0,1526459.3505859375,536033.3653802094,1636463.0126953125,2,1,1,1,0.0,146036.0274895844,146036.0274895844,16604.173973903307,146036.0274895844
2023-04-04,2026460.3505859375,2165436.444060559,500001.0,1526459.3505859375,534291.424529309,1631145.01953125,2,1,1,1,0.0,138976.0934746217,138976.0934746217,-7059.934014962695,138976.0934746217
2023-04-05,2026460.3505859375,2140987.988989576,500001.0,1526459.3505859375,528259.1071536387,1612728.8818359375,2,1,1,1,0.0,114527.63840363883,114527.63840363883,-24448.455070982876,114527.63840363883
2023-04-06,2026460.3505859375,2152754.8157731513,500001.0,1526459.3505859375,531162.4085465888,1621592.4072265625,2,1,1,1,0.0,126294.4651872139,126294.4651872139,11766.82678357506,126294.4651872139
2023-04-10,2026460.3505859375,2118369.744633192,500001.0,1526459.3505859375,522678.36890077015,1595691.3757324219,2,1,1,1,0.0,91909.39404725455,91909.39404725455,-34385.07113995934,91909.39404725455
2023-04-11,2026460.3505859375,2102288.8063289966,500001.0,1526459.3505859375,518710.62029384024,1583578.1860351562,2,1,1,1,0.0,75828.4557430591,75828.4557430591,-16080.938304195457,75828.4557430591
2023-04-12,2026460.3505859375,2093137.550187026,500001.0,1526459.3505859375,516452.6746987446,1576684.8754882812,2,1,1,1,0.0,66677.19960108829,66677.19960108829,-9151.256141970807,66677.19960108829
2023-04-13,2026460.3505859375,2164521.237418771,500001.0,1526459.3505859375,534065.6099773647,1630455.6274414062,2,1,1,1,0.0,138060.8868328333,138060.8868328333,71383.687231745,138060.8868328333
2023-04-14,2026460.3505859375,2159945.001640852,500001.0,1526459.3505859375,532936.4872365552,1627008.5144042969,2,1,1,1,0.0,133484.65105491458,133484.65105491458,-4576.235777918715,133484.65105491458
2023-04-17,2026460.3505859375,2160206.7207601946,500001.0,1526459.3505859375,533001.0628012104,1627205.6579589844,2,1,1,1,0.0,133746.3701742572,133746.3701742572,261.7191193426261,133746.3701742572
2023-04-18,2026460.3505859375,2176418.5186240617,500001.0,1526459.3505859375,537001.099190468,1639417.4194335938,2,1,1,1,0.0,149958.1680381242,149958.1680381242,16211.797863866988,149958.1680381242
2023-04-19,2026460.3505859375,2191584.047717491,500001.0,1526459.3505859375,540742.9832643663,1650841.064453125,2,1,1,1,0.0,165123.6971315538,165123.6971315538,15165.52909342962,165123.6971315538
2023-04-20,2026460.3505859375,2178771.76243939,500001.0,1526459.3505859375,537581.7294804057,1641190.0329589844,2,1,1,1,0.0,152311.41185345233,152311.41185345233,-12812.28527810148,152311.41185345233
2023-04-21,2026460.3505859375,2157461.505972786,500001.0,1526459.3505859375,532323.7191075515,1625137.7868652344,2,1,1,1,0.0,131001.15538684843,131001.15538684843,-21310.256466603896,131001.15538684843
2023-04-24,2026460.3505859375,2161513.8983740634,500001.0,1526459.3505859375,533323.590756876,1628190.3076171875,2,1,1,1,0.0,135053.54778812625,135053.54778812625,4052.392401277815,135053.54778812625
2023-04-25,2026460.3505859375,2141118.6459802696,500001.0,1526459.3505859375,528291.3449548791,1612827.3010253906,2,1,1,1,0.0,114658.29539433208,114658.29539433208,-20395.252393794173,114658.29539433208
2023-04-26,2026460.3505859375,2140987.988989576,500001.0,1526459.3505859375,528259.1071536387,1612728.8818359375,2,1,1,1,0.0,114527.63840363883,114527.63840363883,-130.65699069324182,114527.63840363883
2023-04-27,2026460.3505859375,2201781.775198877,500001.0,1526459.3505859375,543259.1311559083,1658522.6440429688,2,1,1,1,0.0,175321.4246129394,175321.4246129394,60793.78620930055,175321.4246129394
2023-04-28,2026460.3505859375,2218385.138896869,500001.0,1526459.3505859375,547355.7809867127,1671029.3579101562,2,1,1,1,0.0,191924.7883109313,191924.7883109313,16603.36369799191,191924.7883109313
